pota,jaff,name,location,locid,type,level,namek,lat,lng
JA-1467,,Makinogaike Greens,Aichi,JP-AI,Provincial Park,0,牧野ヶ池緑地,35.145058,137.013956
JA-1176,,Kitamoto Shizen Kansatsu,Saitama,JP-ST,Provincial Park,0,北本自然観察公園,36.010842,139.509297
JA-1392,,Hokubu,Ishikawa,JP-IS,Provincial Park,0,北部公園,36.627249,136.693238
JA-1198,,Hokuso Hananooka,Chiba,JP-CH,Provincial Park,0,北総花の丘公園,35.789005,140.123578
JA-1476,,Hokusei Central,Mie,JP-ME,Provincial Park,0,北勢中央公園,35.064992,136.545658
JA-1775,,Hokusatsu Koiki,Kagoshima,JP-KS,Provincial Park,0,北薩広域公園,31.902808,130.437968
JA-1014,,Hokkaido kodomo no kuni ,Hokkaido,JP-HK,Provincial Park,0,北海道子どもの国,43.524034,141.939558
JA-1068,,Hokuo no Mori,Akita,JP-AK,Provincial Park,0,北欧の杜公園,40.164472,140.367056
JA-1155,,Kitaurawa,Saitama,JP-ST,Provincial Park,0,北浦和公園,35.869862,139.64383
JA-1878,,Toyoma Bosai Ryokuchi,Fukushima,JP-FS,Provincial Park,0,豊間防災緑地,36.986307,140.968765
JA-1304,,Hodogaya,Kanagawa,JP-KN,Provincial Park,0,保土谷公園,35.454534,139.585499
JA-1632,,Katazoegahama Kaihin,Yamaguchi,JP-YC,Provincial Park,0,片添ヶ浜海浜公園,33.897539,132.362239
JA-1755,,Heiwadai,Miyazaki,JP-MZ,Provincial Park,0,平和台公園,31.950079,131.415818
JA-1788,,Peace Memorial,Okinawa,JP-ON,Provincial Park,0,平和祈念公園,26.096217,127.723575
JA-1280,,Hirayama Joshi,Tokyo,JP-TK,Provincial Park,0,平山城址公園,35.639729,139.382918
JA-1723,,Hirado,Nagasaki,JP-NS,Provincial Park,0,平戸公園,33.358092,129.567863
JA-1642,,Bunkanomori,Tokushima,JP-TS,Provincial Park,0,文化の森総合公園,34.039653,134.527032
JA-1498,,Fushimiko,Kyoto,JP-KY,Provincial Park,0,伏見港公園,34.925029,135.758273
JA-1584,,Fumon,Tottori,JP-TT,Provincial Park,0,風紋広場,35.493894,134.227318
JA-1346,,Kazakoshi,Nagano,JP-NN,Provincial Park,0,風越公園,36.322323,138.597382
JA-1844,,Kazakoshi Park,Nagano,JP-NN,Provincial Park,0,風越公園,35.52013,137.83118
JA-1284,,Musashino Chuo,Tokyo,JP-TK,Provincial Park,0,武蔵野中央公園,35.718105,139.556267
JA-1283,,Musashino,Tokyo,JP-TK,Provincial Park,0,武蔵野公園,35.689365,139.518697
JA-1285,,Musashinonomori,Tokyo,JP-TK,Provincial Park,0,武蔵野の森公園,35.676549,139.52317
JA-1282,,Musashi Kokubunji,Tokyo,JP-TK,Provincial Park,0,武蔵国分寺公園,35.697031,139.47172
JA-1223,,Ukima,Tokyo,JP-TK,Provincial Park,0,浮間公園,35.793775,139.693438
JA-1321,,Shikishima,Gumma,JP-GM,Provincial Park,0,敷島公園,36.41417,139.051394
JA-1281,,Fuchunomori,Tokyo,JP-TK,Provincial Park,0,府中の森公園,35.676466,139.491638
JA-1202,,Futtsu,Chiba,JP-CH,Provincial Park,0,富津公園,35.31106,139.802565
JA-1333,,Fujikawa Craft,Yamanashi,JP-YN,Provincial Park,0,富士川クラフトパーク,35.418061,138.43685
JA-1445,,Mt. Fuji Children's World,Shizuoka,JP-SZ,Provincial Park,0,富士山こどもの国,35.255522,138.772131
JA-1375,,Toyama Athletic Recreation,Toyama,JP-TY,Provincial Park,0,富山県総合運動公園,36.626362,137.196928
JA-1378,,Joganjigawa,Toyama,JP-TY,Provincial Park,0,富山県常願寺川公園,36.694315,137.282313
JA-1376,,Gofuku,Toyama,JP-TY,Provincial Park,0,富山県五福公園,36.696742,137.189617
JA-1379,,Kuko Sports Ryokuchi,Toyama,JP-TY,Provincial Park,0,富山県空港スポーツ緑地,36.6467,137.189938
JA-1377,,Iwase Sports,Toyama,JP-TY,Provincial Park,0,富山県岩瀬スポーツ公園,36.742981,137.238732
JA-1380,,Fuganunga Kansui,Toyama,JP-TY,Provincial Park,0,富岩運河環水公園,36.709364,137.212317
JA-1216,,Hama-rikyu Gardens,Tokyo,JP-TK,Provincial Park,0,浜離宮恩賜庭園,35.659633,139.763407
JA-1448,,Hamanako Garden,Shizuoka,JP-SZ,Provincial Park,0,浜名湖ガーデンパーク,34.713924,137.601786
JA-1514,,Hamadera,Osaka,JP-OS,Provincial Park,0,浜寺公園,34.539328,135.438849
JA-1815,,Shinagawa Kita Port Park,Tokyo,JP-TK,Provincial Park,0,品川北ふ頭公園,35.63038628,139.7547798
JA-1727,,Hyakkadai,Nagasaki,JP-NS,Provincial Park,0,百花台公園,32.815509,130.296129
JA-1465,,Owari Koiki Ryokudo,Aichi,JP-AI,Provincial Park,0,尾張広域緑道,35.334097,136.930961
JA-1226,,Ogunohara,Tokyo,JP-TK,Provincial Park,0,尾久の原公園,35.751232,139.776269
JA-1486,,Obanagawa,Shiga,JP-SH,Provincial Park,0,尾花川公園,35.01792,135.860503
JA-1203,,Yachiyo,Chiba,JP-CH,Provincial Park,0,八千代広域公園,35.730418,140.111968
JA-1833,,Hachijo Botanical Garden,Tokyo,JP-TK,Provincial Park,0,八丈植物公園,33.11061918,139.782335
JA-1275,,Hachikokuyama Ryokuchi,Tokyo,JP-TK,Provincial Park,0,八国山緑地,35.769779,139.458728
JA-1877,,Usuiso Bosai Ryokuchi,Fukushima,JP-FS,Provincial Park,0,薄磯防災緑地,36.999864,140.978937
JA-1390,,Hakusanroku Theme Park,Ishikawa,JP-IS,Provincial Park,0,白山ろくテーマパーク,36.381248,136.612984
JA-1195,,Kashiwa no Ha,Chiba,JP-CH,Provincial Park,0,柏の葉公園,35.89569,139.937631
JA-1633,,Hagi Wellness,Yamaguchi,JP-YC,Provincial Park,0,萩ウェルネスパーク,34.386235,131.421672
JA-1558,,Umami Kyuryo,Nara,JP-NR,Provincial Park,0,馬見丘陵公園,34.562644,135.736979
JA-1551,,Harima Central,Hyogo,JP-HG,Provincial Park,0,播磨中央公園,34.93758,134.938741
JA-1391,,Noto Rekishi,Ishikawa,JP-IS,Provincial Park,0,能登歴史公園,36.95916,136.970932
JA-1459,,Atsuta Jingu,Aichi,JP-AI,Provincial Park,0,熱田神宮公園,35.130922,136.902217
JA-1250,,Hibiya,Tokyo,JP-TK,Provincial Park,0,日比谷公園,35.673128,139.755664
JA-1142,,Nikko Tamozawa Implerial Vill,Tochigi,JP-TC,Provincial Park,0,日光田母沢御用邸記念公園,36.752436,139.591142
JA-1143,,Nikko Daiyagawa,Tochigi,JP-TC,Provincial Park,0,日光だいや川公園,36.735317,139.663181
JA-1526,,Nishiki no Hama,Osaka,JP-OS,Provincial Park,0,二色の浜公園,34.436272,135.335764
JA-1663,,Nanyo Recreation Toshi,Ehime,JP-EH,Provincial Park,0,南予レクリエーション都市公園,32.964739,132.552534
JA-1646,,Nanbu Kenko Undo,Tokushima,JP-TS,Provincial Park,0,南部健康運動公園,33.865374,134.602533
JA-1342,,Minami Shinshu Koiki,Nagano,JP-NN,Provincial Park,0,南信州広域公園,35.249607,137.66952
JA-1043,,Uchimaru Ryokuchi,Iwate,JP-IW,Provincial Park,0,内丸緑地,39.702593,141.152759
JA-1140,,Nasunogahara,Tochigi,JP-TC,Provincial Park,0,那須野が原公園,36.932334,139.948542
JA-1557,,Nara Park,Nara,JP-NR,Provincial Park,0,奈良公園,34.684685,135.842658
JA-1561,,Tatsuta,Nara,JP-NR,Provincial Park,0,奈良県立竜田公園,34.602131,135.717613
JA-1562,,Yamato Minzoku,Nara,JP-NR,Provincial Park,0,奈良県立大和民俗公園,34.653694,135.752692
